slug,category,nameSingularTitleCase,namePluralTitleCase,nameSingularSentenceCase,namePluralSentenceCase,description
chicken-egg,egg,Chicken Egg,Chicken Eggs,chicken egg,chicken eggs,A protein-rich egg from backyard chickens in many sizes and colors.
duck-egg,egg,Duck Egg,Duck Eggs,duck egg,duck eggs,A rich large egg with a slightly stronger flavor than chicken eggs.
goose-egg,egg,Goose Egg,Goose Eggs,goose egg,goose eggs,A very large egg with a creamy yolk and rich flavor.
quail-egg,egg,Quail Egg,Quail Eggs,quail egg,quail eggs,A tiny speckled egg with a rich flavor popular in many cuisines.
turkey-egg,egg,Turkey Egg,Turkey Eggs,turkey egg,turkey eggs,A large speckled egg with a mild creamy flavor.
apple,fruit,Apple,Apples,apple,apples,A classic garden favorite available in many heirloom and wild varieties.
apricot,fruit,Apricot,Apricots,apricot,apricots,A sweet stone fruit that ripens in early summer.
aronia,fruit,Aronia Berry,Aronia Berries,aronia berry,aronia berries,A tart native berry rich in antioxidants and great for jams.
asian-pear,fruit,Asian Pear,Asian Pears,asian pear,asian pears,A crisp and juicy pear with an apple-like texture.
avocado,fruit,Avocado,Avocados,avocado,avocados,A creamy fruit beloved for its rich flavor and versatility.
blackberry,fruit,Blackberry,Blackberries,blackberry,blackberries,A thorny bramble fruit that thrives in gardens and hedgerows.
blood-orange,fruit,Blood Orange,Blood Oranges,blood orange,blood oranges,A citrus fruit with crimson flesh and a raspberry-like flavor.
blueberry,fruit,Blueberry,Blueberries,blueberry,blueberries,A sweet-tart berry perfect for fresh eating or baking.
boysenberry,fruit,Boysenberry,Boysenberries,boysenberry,boysenberries,A large dark berry cross between raspberry and blackberry.
cantaloupe,fruit,Cantaloupe,Cantaloupes,cantaloupe,cantaloupes,A sweet netted melon best eaten fresh off the vine.
cherry,fruit,Cherry,Cherries,cherry,cherries,A sweet or sour stone fruit harvested in early summer.
crabapple,fruit,Crabapple,Crabapples,crabapple,crabapples,A small tart apple ideal for jelly and ornamental uses.
currant,fruit,Currant,Currants,currant,currants,A small tart berry excellent for jams and juice.
elderberry,fruit,Elderberry,Elderberries,elderberry,elderberries,A small dark berry used for syrups and traditional remedies.
feijoa,fruit,Feijoa,Feijoas,feijoa,feijoas,A tropical-flavored fruit with a sweet guava-like taste.
fig,fruit,Fig,Figs,fig,figs,A sweet Mediterranean fruit with a honey-rich interior.
gooseberry,fruit,Gooseberry,Gooseberries,gooseberry,gooseberries,A tart berry great for pies and jams.
grape,fruit,Grape,Grapes,grape,grapes,A versatile vine fruit enjoyed fresh or as juice and raisins.
grapefruit,fruit,Grapefruit,Grapefruits,grapefruit,grapefruits,A large citrus fruit with a pleasantly bitter flavor.
ground-cherry,fruit,Ground Cherry,Ground Cherries,ground cherry,ground cherries,A small husk-wrapped fruit with a sweet pineapple-vanilla flavor.
guava,fruit,Guava,Guavas,guava,guavas,A tropical fruit with a fragrant sweet interior.
huckleberry,fruit,Huckleberry,Huckleberries,huckleberry,huckleberries,A wild-tasting berry similar to blueberry found in mountain regions.
jostaberry,fruit,Jostaberry,Jostaberries,jostaberry,jostaberries,A thornless hybrid cross between currant and gooseberry.
jujube,fruit,Jujube,Jujubes,jujube,jujubes,A small date-like fruit with a crunchy apple texture when fresh.
kiwi,fruit,Kiwi,Kiwis,kiwi,kiwis,A tangy green fruit with edible seeds and bright flavor.
kumquat,fruit,Kumquat,Kumquats,kumquat,kumquats,A tiny citrus fruit eaten whole with sweet skin and tart flesh.
lemon,fruit,Lemon,Lemons,lemon,lemons,A bright citrus fruit essential for cooking and beverages.
lime,fruit,Lime,Limes,lime,limes,A tart citrus fruit used in cooking and cocktails.
loquat,fruit,Loquat,Loquats,loquat,loquats,A mild sweet orange fruit that ripens in late winter or spring.
lychee,fruit,Lychee,Lychees,lychee,lychees,A fragrant tropical fruit with floral sweet flesh.
mandarin,fruit,Mandarin,Mandarins,mandarin,mandarins,A small easy-peel citrus fruit with a sweet mild flavor.
mayhaw,fruit,Mayhaw,Mayhaws,mayhaw,mayhaws,A Southern native berry used for prized jelly and syrup.
medlar,fruit,Medlar,Medlars,medlar,medlars,An old-fashioned fruit traditionally eaten after bletting.
meyer-lemon,fruit,Meyer Lemon,Meyer Lemons,meyer lemon,meyer lemons,A sweeter thin-skinned lemon hybrid popular for baking.
mulberry,fruit,Mulberry,Mulberries,mulberry,mulberries,A prolific tree fruit with a sweet blackberry-like flavor.
muscadine,fruit,Muscadine,Muscadines,muscadine,muscadines,A thick-skinned Southern grape variety with a musky sweet flavor.
nectarine,fruit,Nectarine,Nectarines,nectarine,nectarines,A smooth-skinned stone fruit closely related to peaches.
olive,fruit,Olive,Olives,olive,olives,A savory drupe used for oil and table eating.
orange,fruit,Orange,Oranges,orange,oranges,A popular citrus fruit enjoyed fresh or as juice.
papaya,fruit,Papaya,Papayas,papaya,papayas,A tropical fruit with orange flesh and a sweet mild flavor.
passion-fruit,fruit,Passion Fruit,Passion Fruit,passion fruit,passion fruit,A vine fruit with fragrant tropical sweet-tart pulp.
pawpaw,fruit,Pawpaw,Pawpaws,pawpaw,pawpaws,A custard-like North American native fruit with banana and mango notes.
peach,fruit,Peach,Peaches,peach,peaches,A classic summer stone fruit with juicy sweet flesh.
pear,fruit,Pear,Pears,pear,pears,A crisp or buttery fruit available in many heirloom varieties.
persimmon,fruit,Persimmon,Persimmons,persimmon,persimmons,A sweet orange autumn fruit best eaten fully ripe.
pineapple-guava,fruit,Pineapple Guava,Pineapple Guavas,pineapple guava,pineapple guavas,An evergreen shrub fruit with a minty pineapple-like flavor.
plantain,fruit,Plantain,Plantains,plantain,plantains,A starchy cooking banana harvested green or ripe.
plum,fruit,Plum,Plums,plum,plums,A juicy sweet-tart stone fruit available in many colors.
pomegranate,fruit,Pomegranate,Pomegranates,pomegranate,pomegranates,A jewel-toned fruit filled with sweet tangy arils.
pomelo,fruit,Pomelo,Pomelos,pomelo,pomelos,The largest citrus fruit with mild sweet grapefruit-like flesh.
prickly-pear,fruit,Prickly Pear,Prickly Pears,prickly pear,prickly pears,A cactus fruit with sweet magenta or yellow flesh.
quince,fruit,Quince,Quinces,quince,quinces,A fragrant fall fruit best cooked into jelly or paste.
raspberry,fruit,Raspberry,Raspberries,raspberry,raspberries,A delicate tart-sweet bramble fruit popular for fresh eating.
serviceberry,fruit,Serviceberry,Serviceberries,serviceberry,serviceberries,A North American native berry with a sweet almond-like flavor.
strawberry,fruit,Strawberry,Strawberries,strawberry,strawberries,A sweet red spring fruit beloved for fresh eating and jam.
tamarillo,fruit,Tamarillo,Tamarillos,tamarillo,tamarillos,An egg-shaped South American fruit with tart tangy flesh.
tangerine,fruit,Tangerine,Tangerines,tangerine,tangerines,A small bright citrus fruit with an easy-peel sweet flavor.
walnut,fruit,Walnut,Walnuts,walnut,walnuts,A rich tree nut harvested in fall.
watermelon,fruit,Watermelon,Watermelons,watermelon,watermelons,A refreshing large summer fruit with sweet juicy flesh.
almond,fruit,Almond,Almonds,almond,almonds,A versatile tree nut with a mild sweet flavor eaten raw or roasted.
banana,fruit,Banana,Bananas,banana,bananas,A sweet tropical fruit harvested year-round in warm climates.
breadfruit,fruit,Breadfruit,Breadfruits,breadfruit,breadfruits,A large starchy tropical fruit used as a cooked staple food.
chestnut,fruit,Chestnut,Chestnuts,chestnut,chestnuts,A starchy nut roasted or used in savory and sweet dishes.
coconut,fruit,Coconut,Coconuts,coconut,coconuts,A large tropical drupe with edible white flesh and refreshing water.
date,fruit,Date,Dates,date,dates,A sweet chewy stone fruit harvested from date palm trees.
dragon-fruit,fruit,Dragon Fruit,Dragon Fruit,dragon fruit,dragon fruit,A tropical cactus fruit with bright skin and speckled white or red flesh.
hazelnut,fruit,Hazelnut,Hazelnuts,hazelnut,hazelnuts,A small round nut with a sweet rich flavor popular in confections.
jackfruit,fruit,Jackfruit,Jackfruits,jackfruit,jackfruits,A massive tropical fruit with sweet yellow pods or savory young flesh.
longan,fruit,Longan,Longans,longan,longans,A small tropical fruit with sweet translucent flesh and a large seed.
macadamia,fruit,Macadamia,Macadamias,macadamia,macadamias,A rich creamy nut grown in Hawaii and warm climates.
mango,fruit,Mango,Mangoes,mango,mangoes,A tropical stone fruit with sweet golden flesh.
pecan,fruit,Pecan,Pecans,pecan,pecans,A rich buttery tree nut widely grown in the American South.
pineapple,fruit,Pineapple,Pineapples,pineapple,pineapples,A spiky tropical fruit with sweet juicy yellow flesh.
pistachio,fruit,Pistachio,Pistachios,pistachio,pistachios,A small green nut with a buttery flavor popular as a snack.
starfruit,fruit,Starfruit,Starfruits,starfruit,starfruits,A star-shaped tropical fruit with a crisp sweet-tart flavor.
tamarind,fruit,Tamarind,Tamarinds,tamarind,tamarinds,A tart tropical pod fruit used in sauces, candy, and beverages.
basil,herb,Basil,Basil,basil,basil,A fragrant tender annual herb essential in Italian and Asian cuisines.
bay-laurel,herb,Bay Laurel,Bay Laurel,bay laurel,bay laurel,An aromatic evergreen shrub leaf used to flavor soups and stews.
calendula,herb,Calendula,Calendula,calendula,calendula,A bright edible flower with anti-inflammatory and skin-soothing properties.
chamomile,herb,Chamomile,Chamomile,chamomile,chamomile,A gentle daisy-like herb used for calming teas and medicinal remedies.
chervil,herb,Chervil,Chervil,chervil,chervil,A delicate anise-flavored herb used in classic French cooking.
chives,herb,Chives,Chives,chives,chives,A mild onion-flavored herb excellent for garnishing and fresh use.
cilantro,herb,Cilantro,Cilantro,cilantro,cilantro,A bright aromatic herb essential in Mexican and Southeast Asian cooking.
dill,herb,Dill,Dill,dill,dill,A feathery herb used in pickles and as a fresh culinary accent.
echinacea,herb,Echinacea,Echinacea,echinacea,echinacea,A medicinal purple coneflower traditionally used to support immune health.
epazote,herb,Epazote,Epazote,epazote,epazote,A pungent Mexican culinary herb used in bean dishes and salsas.
hyssop,herb,Hyssop,Hyssop,hyssop,hyssop,An aromatic medicinal herb with small purple flowers and a minty flavor.
lavender,herb,Lavender,Lavender,lavender,lavender,A fragrant flowering herb used in cooking and aromatherapy.
lemon-balm,herb,Lemon Balm,Lemon Balm,lemon balm,lemon balm,A lemon-scented mint family herb used in teas and as a calming remedy.
lemon-verbena,herb,Lemon Verbena,Lemon Verbena,lemon verbena,lemon verbena,An intensely lemon-scented herb used in teas and desserts.
lemongrass,herb,Lemongrass,Lemongrass,lemongrass,lemongrass,A citrusy tropical grass used in Southeast Asian cooking and teas.
